"Item Code","Item Name","Brand","Category/Item Type","Unit","Stock","Alert Quantity","Sales Price","Tax","Status"
"IT020043","AMARON GO 00095D26LHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","7,813","GST 28%(28%)","Active"
"IT020042","AMARON GO 00050B24LHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","6,793","GST 28%(28%)","Active"
"IT020041","AMARON GO OBH38B20RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","5,049","GST 28%(28%)","Active"
"IT020040","AMARONGO 00038B20RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","4,690","GST 28%(28%)","Active"
"IT020039","AMARON GO 00038B20LHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","4,690","GST 28%(28%)","Active"
"IT020038","AMARON GO 34B20RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","4,326","GST 28%(28%)","Active"
"IT020037","AMARON FLO 580112073[DIN80]HSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","12,442","GST 28%(28%)","Active"
"IT020036","AMARON FLO  565106590[DIN65]HSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,549","GST 28%(28%)","Active"
"IT020035","AMARON FLO 00080D23LHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","7,412","GST 28%(28%)","Active"
"IT020034","AMARON FLO 566112060[DIN66]HSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,531","GST 28%(28%)","Active"
"IT020033","AMARON FLO 555111054[DIN55R]HSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,347","GST 28%(28%)","Active"
"IT020032","AMARON FLO 555112054[DIN55L]HSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,347","GST 28%(28%)","Active"
"IT020031","AMARON FLO 550113042[DIN 50R]HSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","7,291","GST 28%(28%)","Active"
"IT020030","AMARON FLO 550114042[DIN 50L]HSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","7,291","GST 28%(28%)","Active"
"IT020029","AMARON FLO 545106036[DIN45]HSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","6,589","GST 28%(28%)","Active"
"IT020028","AMARON FLO OBH90D23LHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","7,798","GST 28%(28%)","Active"
"IT020027","AMARON FLO 0BH45D20LHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","7,218","GST 28%(28%)","Active"
"IT020026","AMARON FLO 42B20RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","5,154","GST 28%(28%)","Active"
"IT020025","AMARON FLO 42B20LHSN:85071000SKU:","POWER ZONE","AMARON AUTOMOBILE[ITEM]","PCS","100","5","5,154","GST 28%(28%)","Active"
"IT020024","AMARON FLO 36B20LHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","4,728","GST 28%(28%)","Active"
"IT020023","AMARON FLO BH40B20LHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","5,390","GST 28%(28%)","Active"
"IT020022","AMARON FLO 40B20RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","4,837","GST 28%(28%)","Active"
"IT020021","AMARON FLO 40B20LHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","99","5","4,837","GST 28%(28%)","Active"
"IT020020","AMARON PRO 600109087[DIN100]HSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","20,766","GST 28%(28%)","Active"
"IT020019","AMARON PRO 574102069[DIN74]HSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","600","5","12,528","GST 28%(28%)","Active"
"IT020018","AMARON PRO 55B24LSHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,526","GST 28%(28%)","Active"
"IT020017","POWER ZONE MC TX90HSN:85071000SKU:","POWER ZONE","POWER ZONE MC[ITEM]","PCS","200","5","1,800","GST 28%(28%)","Active"
"IT020016","POWER ZONE MC T29RHSN:85071000SKU:","POWER ZONE","POWER ZONE MC[ITEM]","PCS","200","5","1,900","GST 28%(28%)","Active"
"IT020015","POWER ZONE MC T24LHSN:85071000SKU:","POWER ZONE","POWER ZONE MC[ITEM]","PCS","200","5","1,000","GST 28%(28%)","Active"
"IT020014","POWER ZONE MC T25LHSN:85071000SKU:","POWER ZONE","POWER ZONE MC[ITEM]","PCS","200","5","1,250","GST 28%(28%)","Active"
"IT020013","POWER ZONE MC TX50HSN:85071000SKU:","POWER ZONE","POWER ZONE MC[ITEM]","PCS","100","3","1,300","GST 28%(28%)","Active"
"IT020012","POWER ZONE MC TX7RHSN:85071000SKU:","POWER ZONE","POWER ZONE MC[ITEM]","PCS","100","5","1,400","GST 28%(28%)","Active"
"IT020011","AMARON MC BTX2.5LHSN:85071000SKU:","AMARON","AMARON MC[ITEM]","PCS","100","5","950","GST 28%(28%)","Active"
"IT020010","AMARON MC BTZ9RHSN:85071000SKU:","AMARON","AMARON MC[ITEM]","PCS","100","5","2,000","GST 28%(28%)","Active"
"IT020009","AMARON MC BTZ7HSN:85071000SKU:","AMARON","AMARON MC[ITEM]","PCS","100","5","1,500","GST 28%(28%)","Active"
"IT020008","AMARON MC BTX7RHSN:85071000SKU:","AMARON","AMARON MC[ITEM]","PCS","200","5","1,500","GST 28%(28%)","Active"
"IT020007","AMARON MC BTX5LHSN:8506SKU:","AMARON","AMARON MC[ITEM]","PCS","97","5","1,400","GST 28%(28%)","Active"
"IT020006","AMARON MC BTZ4LHSN:8506SKU:","","Electronics[ITEM]","PCS","209","5","1,100","GST 18%(18%)","Active"
"IT020005","BATTERYHSN:SKU:","","Electronics[ITEM]","PCS","501","5","10,000","GST 18%(18%)","Active"
"IT020004","testinng rs powerHSN:SKU:","","Electronics[ITEM]","PCS","10226","5","18,000","GST 18%(18%)","Active"
"IT020003","Sandisk Flash Drive USB CHSN:SKU:","","Electronics[ITEM]","PCS","171","5","5","VAT(5%)","Active"
"IT020002","Imation 64GB Flash DriveHSN:SKU:","","Electronics[ITEM]","PCS","126","5","4","VAT(5%)","Active"
"IT020001","Sandisk 32GB USB 2.0 Flash DriveHSN:SKU:","","Electronics[ITEM]","PCS","244","5","3","VAT(5%)","Active"
